Year,Country,Medal,Total_Medal
1964,ITA,10,707
1964,NED,2,341
1964,NOR,15,489
1964,PRK,1,1
1964,SWE,28,924
1964,TCH,17,222
1964,URS,46,754
1964,USA,8,2234
1968,AUT,15,192
1968,CAN,20,437
1968,FIN,8,487
1968,FRA,9,885
1968,FRG,10,71
1968,GDR,6,57
1968,ITA,8,747
1968,NED,9,364
1968,NOR,22,517
1968,ROU,2,104
1968,SUI,9,383
1968,SWE,16,949
1968,TCH,21,272
1968,URS,37,979
1968,USA,7,2390
1972,AUT,5,200
1972,CAN,1,448
1972,ESP,1,50
1972,FIN,10,507
1972,FRA,3,910
1972,FRG,10,177
1972,GDR,20,225
1972,ITA,9,781
1972,JPN,3,320
1972,NED,9,379
1972,NOR,17,542
1972,POL,1,240
1972,SUI,17,408
1972,SWE,4,974
1972,TCH,20,321
1972,URS,45,1235
1972,USA,25,2570
1976,AUT,7,208
1976,CAN,3,471
1976,FIN,16,529
1976,FRA,1,931
1976,FRG,32,284
1976,GBR,1,1208
1976,GDR,32,449
1976,ITA,4,816
1976,LIE,2,2
1976,NED,6,400
1976,NOR,10,558
1976,SUI,9,427
1976,SWE,2,986
1976,TCH,18,354
1976,URS,56,1576
1976,USA,11,2736
1980,AUT,8,221
1980,BUL,1,218
1980,CAN,2,473
1980,FIN,12,550
1980,FRA,1,961
1980,FRG,8,292
1980,GBR,1,1254
1980,GDR,39,748
1980,HUN,2,813
1980,ITA,3,856
1980,JPN,1,362
1980,LIE,4,6
1980,NED,4,410
1980,NOR,16,574
1980,SUI,9,438
1980,SWE,22,1026
1980,TCH,1,407
1980,URS,54,2072
1980,USA,30,2766
1984,AUT,1,225
1984,CAN,4,563
1984,FIN,19,581
1984,FRA,3,1032
1984,FRG,8,457
1984,GBR,2,1328
1984,GDR,33,781
1984,ITA,2,921
1984,JPN,1,412
1984,LIE,2,8
1984,NOR,15,593
1984,SUI,8,461
1984,SWE,30,1088
1984,TCH,28,435
1984,URS,56,2128
1984,USA,9,3108
1984,YUG,1,321
1988,AUT,12,238
1988,CAN,6,590
1988,FIN,34,619
1988,FRA,2,1063
1988,FRG,14,584
1988,GDR,32,987
1988,ITA,8,958
1988,JPN,1,433
1988,LIE,1,9
1988,NED,7,501
1988,NOR,11,627
1988,SUI,20,489
1988,SWE,30,1134
1988,TCH,6,451
1988,URS,67,2489
1988,USA,7,3308
1988,YUG,6,390
1992,AUT,29,273
1992,CAN,37,671
1992,CHN,3,215
1992,ESP,1,171
1992,EUN,60,283
1992,FIN,13,639
1992,FRA,12,1132
1992,GER,38,789
1992,ITA,21,1025
1992,JPN,12,492
1992,KOR,7,204
1992,LUX,2,4
1992,NED,4,538
1992,NOR,28,678
1992,NZL,1,132
1992,PRK,1,34
1992,SUI,7,497
1992,SWE,7,1176
1992,TCH,28,487
1992,USA,14,3546
1994,AUS,4,1193
1994,AUT,12,303
1994,BLR,2,115
1994,CAN,40,901
1994,CHN,3,813
1994,FIN,31,691
1994,FRA,11,1471
1994,GBR,3,1775
1994,GER,40,1416
1994,ITA,33,1406
1994,JPN,10,817
1994,KAZ,3,52
1994,KOR,10,546
1994,NED,4,901
1994,NOR,34,827
1994,RUS,36,804
1994,SLO,3,29
1994,SUI,16,560
1994,SWE,24,1305
1994,UKR,2,175
1994,USA,21,4904
1994,UZB,1,21
1998,AUS,1,1194
1998,AUT,20,323
1998,BEL,1,424
1998,BLR,2,117
1998,BUL,1,335
1998,CAN,49,950
1998,CHN,14,827
1998,CZE,24,80
1998,DEN,5,512
1998,FIN,59,750
1998,FRA,15,1486
1998,GBR,4,1779
1998,GER,44,1460
1998,ITA,17,1423
1998,JPN,13,830
1998,KAZ,2,54
1998,KOR,12,558
1998,NED,11,912
1998,NOR,44,871
1998,RUS,53,857
1998,SUI,14,574
1998,SWE,7,1312
1998,UKR,1,176
1998,USA,34,4938
2002,AUS,2,1196
2002,AUT,20,343
2002,BLR,1,118
2002,BUL,3,338
2002,CAN,75,1025
2002,CHN,16,843
2002,CRO,4,118
2002,CZE,3,83
2002,EST,3,42
2002,FIN,13,763
2002,FRA,15,1501
2002,GBR,6,1785
2002,GER,61,1521
2002,ITA,21,1444
2002,JPN,2,832
2002,KOR,7,565
2002,NED,8,920
2002,NOR,41,912
2002,POL,2,517
2002,RUS,40,897
2002,SLO,4,33
2002,SUI,24,598
2002,SWE,26,1338
2002,USA,84,5022
2006,AUS,2,1198
2006,AUT,30,373
2006,BLR,1,119
2006,BUL,1,339
2006,CAN,68,1093
2006,CHN,13,856
2006,CRO,3,121
2006,CZE,28,111
2006,EST,3,45
2006,FIN,43,806
2006,FRA,15,1516
2006,GBR,1,1786
2006,GER,54,1575
2006,ITA,25,1469
2006,JPN,1,833
2006,KOR,19,584
2006,LAT,1,21
2006,NED,13,933
2006,NOR,23,935
2006,POL,2,519
2006,RUS,41,938
2006,SUI,22,620
2006,SVK,1,35
2006,SWE,65,1403
2006,UKR,3,179
2006,USA,53,5075
2010,AUS,3,1201
2010,AUT,26,399
2010,BLR,3,122
2010,CAN,91,1184
2010,CHN,20,876
2010,CRO,3,124
2010,CZE,9,120
2010,EST,1,46
2010,FIN,50,856
2010,FRA,14,1530
2010,GBR,1,1787
2010,GER,54,1629
2010,ITA,5,1474
2010,JPN,7,840
2010,KAZ,1,55
2010,KOR,18,602
2010,LAT,3,24
2010,NED,11,944
2010,NOR,40,975
2010,POL,8,527
2010,RUS,25,963
2010,SLO,3,36
2010,SUI,13,633
2010,SVK,3,38
2010,SWE,19,1422
2010,USA,98,5173
2014,AUS,3,1204
2014,AUT,27,426
2014,BLR,6,128
2014,CAN,90,1274
2014,CHN,13,889
2014,CRO,1,125
2014,CZE,11,131
2014,FIN,34,890
2014,FRA,18,1548
2014,GBR,12,1799
2014,GER,36,1665
2014,ITA,14,1488
2014,JPN,11,851
2014,KAZ,1,56
2014,KOR,14,616
2014,LAT,11,35
2014,NED,29,973
2014,NOR,36,1011
2014,POL,11,538
2014,RUS,68,1031
2014,SLO,8,44
2014,SUI,32,665
2014,SVK,1,39
2014,SWE,55,1477
2014,UKR,5,184
2014,USA,65,5238
