Season,Sport,Discipline,Event
Summer,Weightlifting,Weightlifting,"+ 110KG, Total (Super Heavyweight)"
Summer,Weightlifting,Weightlifting,"52 - 56KG, Total (Bantamweight)"
Summer,Weightlifting,Weightlifting,"91 - 110KG, Total (Heavyweight)"
Summer,Wrestling,Wrestling Free.,+ 100KG (Super Heavyweight)
Summer,Wrestling,Wrestling Free.,48 - 52KG (Flyweight)
Summer,Wrestling,Wrestling Free.,57 - 62KG (Featherweight)
Summer,Wrestling,Wrestling Free.,62 - 68KG (Lightweight)
Summer,Wrestling,Wrestling Free.,68 - 74KG (Welterweight)
Summer,Wrestling,Wrestling Free.,74 - 82KG (Middleweight)
Summer,Wrestling,Wrestling Free.,82 - 90KG (Light-Heavyweight)
Summer,Wrestling,Wrestling Free.,90 - 100KG (Heavyweight)
Summer,Canoe / Kayak,Canoe / Kayak F,C-1 500M (Canoe Single)
Summer,Canoe / Kayak,Canoe / Kayak F,C-2 500M (Canoe Double)
Summer,Rowing,Rowing,Pair Without Coxswain (2-)
Summer,Rowing,Rowing,Quadruple Sculls With Coxswain (4X)
Summer,Rowing,Rowing,Quadruple Sculls Without Coxswain (4X)
Summer,Sailing,Sailing,470 - Two Person Dinghy
Summer,Sailing,Sailing,Tornado - Multihull
Summer,Judo,Judo,- 60 KG
Summer,Judo,Judo,+ 95KG (Heavyweight)
Summer,Judo,Judo,60 - 65KG (Half-Lightweight)
Summer,Judo,Judo,65 - 71KG (Lightweight)
Summer,Judo,Judo,71 - 78KG (Half-Middleweight)
Summer,Judo,Judo,78 - 86KG (Middleweight)
Summer,Judo,Judo,86 - 95KG (Half-Heavyweight)
Summer,Weightlifting,Weightlifting,"100 - 110KG, Total (Heavyweight)"
Summer,Weightlifting,Weightlifting,"90 - 100KG, Total (First-Heavyweight)"
Summer,Aquatics,Synchronized S.,Duet
Summer,Aquatics,Synchronized S.,Solo
Summer,Athletics,Athletics,3000M
Summer,Athletics,Athletics,Heptathlon
Summer,Boxing,Boxing,+ 91KG (Super Heavyweight)
Summer,Boxing,Boxing,81 - 91KG (Heavyweight)
Summer,Canoe / Kayak,Canoe / Kayak F,K-4 500M (Kayak Four)
Summer,Cycling,Cycling Track,Points Race
Summer,Sailing,Sailing,Board (Windglider)
Summer,Shooting,Shooting,10M Air Rifle (40 Shots)
Summer,Shooting,Shooting,10M Air Rifle (60 Shots)
Summer,Shooting,Shooting,25M Pistol (30+30 Shots)
Summer,Shooting,Shooting,50M Rifle 3 Positions (3X20 Shots)
Summer,Aquatics,Swimming,50M Freestyle
Summer,Cycling,Cycling Track,Sprint
Summer,Sailing,Sailing,Board (Division Ii)
Summer,Shooting,Shooting,10M Air Pistol (40 Shots)
Summer,Shooting,Shooting,10M Air Pistol (60 Shots)
Summer,Wrestling,Wrestling Free.,100 - 130KG (Super Heavyweight)
Summer,Archery,Archery,Individual (Fita Olympic Round - 70M)
Summer,Archery,Archery,Team (Fita Olympic Round - 70M)
Summer,Baseball,Baseball,Baseball
Summer,Judo,Judo,- 48KG (Extra-Lightweight)
Summer,Judo,Judo,+ 72KG (Heavyweight)
Summer,Judo,Judo,48 - 52KG (Half-Lightweight)
Summer,Judo,Judo,52 - 56KG (Lightweight)
Summer,Judo,Judo,56 - 61KG (Half-Middleweight)
Summer,Judo,Judo,61 - 66KG (Middleweight)
Summer,Judo,Judo,66 - 72KG (Half-Heavyweight)
Summer,Rowing,Rowing,Coxless Four (4-)
Summer,Sailing,Sailing,Board (Lechner)
Summer,Sailing,Sailing,Single-Handed Dinghy (Europe)
Summer,Cycling,Mountain Bike,Cross-Country
Summer,Gymnastics,Rhythmic G.,Group Competition
Summer,Judo,Judo,+ 100KG (Heavyweight)
Summer,Judo,Judo,60 - 66KG (Half-Lightweight)
Summer,Judo,Judo,66 - 73KG (Lightweight)
Summer,Judo,Judo,73 - 81KG (Half-Middleweight)
Summer,Judo,Judo,81 - 90KG (Middleweight)
Summer,Judo,Judo,90 - 100KG (Half-Heavyweight)
Summer,Rowing,Rowing,Lightweight Coxless Four (4-)
Summer,Rowing,Rowing,Lightweight Double Sculls (2X)
Summer,Sailing,Sailing,Board (Mistral)
Summer,Sailing,Sailing,Single-Handed Dinghy Open (Laser)
Summer,Shooting,Shooting,Double Trap (120 Targets)
Summer,Shooting,Shooting,Double Trap (150 Targets)
Summer,Softball,Softball,Softball
Summer,Volleyball,Beach volley.,Beach Volleyball
Summer,Weightlifting,Weightlifting,"- 54KG, Total (Flyweight)"
Summer,Weightlifting,Weightlifting,"+ 108KG, Total (Super Heavyweight)"
Summer,Weightlifting,Weightlifting,"54 - 59KG, Total (Bantamweight)"
Summer,Weightlifting,Weightlifting,"59 - 64KG, Total (Featherweight)"
Summer,Weightlifting,Weightlifting,"64 - 70KG, Total (Lightweight)"
Summer,Weightlifting,Weightlifting,"70 - 76KG, Total (Middleweight)"
Summer,Weightlifting,Weightlifting,"76 - 83KG, Total (Light-Heavyweight)"
Summer,Weightlifting,Weightlifting,"83 - 91KG, Total (Middle-Heavyweight)"
Summer,Weightlifting,Weightlifting,"91 - 99KG, Total (First-Heavyweight)"
Summer,Weightlifting,Weightlifting,"99 - 108KG, Total (Heavyweight)"
Summer,Aquatics,Diving,Synchronized Diving 10M Platform
Summer,Aquatics,Diving,Synchronized Diving 3M Springboard
Summer,Athletics,Athletics,20KM Race Walk
Summer,Cycling,Cycling Track,500M Time Trial
Summer,Cycling,Cycling Track,Keirin
Summer,Cycling,Cycling Track,Madison
Summer,Cycling,Cycling Track,Olympic Sprint
Summer,Judo,Judo,+ 78KG (Heavyweight)
Summer,Judo,Judo,52 - 57KG (Lightweight)
Summer,Judo,Judo,57 - 63KG (Half-Middleweight)
Summer,Judo,Judo,63 - 70KG (Middleweight)
Summer,Judo,Judo,70 - 78KG (Half-Heavyweight)
Summer,Sailing,Sailing,49Er - Skiff
Summer,Shooting,Shooting,10M Running Target (30+30 Shots)
Summer,Shooting,Shooting,Skeet (75 Targets)
Summer,Shooting,Shooting,Trap (75 Targets)
Summer,Taekwondo,Taekwondo,- 49 KG
Summer,Taekwondo,Taekwondo,- 58 KG
Summer,Taekwondo,Taekwondo,+ 67 KG
Summer,Taekwondo,Taekwondo,+ 80 KG
Summer,Taekwondo,Taekwondo,49 - 57 KG
Summer,Taekwondo,Taekwondo,57 - 67 KG
Summer,Taekwondo,Taekwondo,58 - 68 KG
Summer,Taekwondo,Taekwondo,68 - 80 KG
Summer,Weightlifting,Weightlifting,+ 105KG
Summer,Weightlifting,Weightlifting,+ 75KG
Summer,Weightlifting,Weightlifting,105KG
Summer,Weightlifting,Weightlifting,48KG
Summer,Weightlifting,Weightlifting,53KG
Summer,Weightlifting,Weightlifting,56KG
Summer,Weightlifting,Weightlifting,58KG
Summer,Weightlifting,Weightlifting,62KG
Summer,Weightlifting,Weightlifting,63KG
Summer,Weightlifting,Weightlifting,69KG
Summer,Weightlifting,Weightlifting,75KG
Summer,Weightlifting,Weightlifting,77KG
Summer,Weightlifting,Weightlifting,85KG
Summer,Weightlifting,Weightlifting,94KG
Summer,Wrestling,Wrestling Free.,48 - 54KG
Summer,Wrestling,Wrestling Free.,54 - 58KG
Summer,Wrestling,Wrestling Free.,58 - 63KG
Summer,Wrestling,Wrestling Free.,63 - 69KG
Summer,Wrestling,Wrestling Free.,69 - 76KG
Summer,Wrestling,Wrestling Free.,76 - 85KG
Summer,Wrestling,Wrestling Free.,85 - 97KG
Summer,Wrestling,Wrestling Free.,97 - 130KG
Summer,Boxing,Boxing,48KG (Light Flywieght)
Summer,Boxing,Boxing,60 - 64 KG
Summer,Boxing,Boxing,64 - 69 KG
Summer,Boxing,Boxing,69 - 75 KG
Summer,Cycling,Cycling Track,Team Sprint
Summer,Judo,Judo,- 48 KG
Summer,Sailing,Sailing,Star - Keelboat
Summer,Sailing,Sailing,Yngling - Keelboat
Summer,Wrestling,Wrestling Free.,- 48KG
Summer,Wrestling,Wrestling Free.,- 55KG
Summer,Wrestling,Wrestling Free.,48 - 55KG
Summer,Wrestling,Wrestling Free.,55 - 60KG
Summer,Wrestling,Wrestling Free.,55 - 63KG
Summer,Wrestling,Wrestling Free.,60 - 66KG
Summer,Wrestling,Wrestling Free.,63 - 72KG
Summer,Wrestling,Wrestling Free.,66 - 74KG
Summer,Wrestling,Wrestling Free.,74 - 84KG
Summer,Wrestling,Wrestling Free.,84 - 96KG
Summer,Wrestling,Wrestling Free.,96 - 120KG
Summer,Aquatics,Swimming,Marathon 10KM
Summer,Sailing,Sailing,Finn - Heavyweight Dinghy
Summer,Sailing,Sailing,Laser - One Person Dinghy
Summer,Sailing,Sailing,Laser Radial - One Person Dinghy
Summer,Sailing,Sailing,Rs:X - Windsurfer
Summer,Aquatics,Diving,Synchronized 10M
Summer,Aquatics,Diving,Synchronized 3M
Summer,Aquatics,Swimming,200M Medley
Summer,Aquatics,Swimming,400M Medley
Summer,Aquatics,Swimming,4X100M Freestyle
Summer,Aquatics,Swimming,4X100M Medley
Summer,Aquatics,Swimming,4X200M Freestyle
Summer,Athletics,Athletics,3000M Steeple
Summer,Boxing,Boxing,+ 91KG
Summer,Boxing,Boxing,46 - 49KG
Summer,Boxing,Boxing,51 KG
Summer,Boxing,Boxing,52KG
Summer,Boxing,Boxing,57 - 60KG
Summer,Boxing,Boxing,60 KG
Summer,Boxing,Boxing,75 - 81KG
Summer,Boxing,Boxing,75 KG
Summer,Boxing,Boxing,81 - 91KG
Summer,Canoe,Canoe Slalom,C-1 (Single)
Summer,Canoe,Canoe Slalom,C-2 (Double)
Summer,Canoe,Canoe Slalom,K-1 (Single)
Summer,Canoe,Canoe Sprint,C-1 1000M
Summer,Canoe,Canoe Sprint,C-1 200M
Summer,Canoe,Canoe Sprint,C-2 1000M
Summer,Canoe,Canoe Sprint,K-1 1000M
Summer,Canoe,Canoe Sprint,K-1 200M
Summer,Canoe,Canoe Sprint,K-1 500M
Summer,Canoe,Canoe Sprint,K-2 1000M
Summer,Canoe,Canoe Sprint,K-2 200M
Summer,Canoe,Canoe Sprint,K-2 500M
Summer,Canoe,Canoe Sprint,K-4 1000M
Summer,Canoe,Canoe Sprint,K-4 500M
Summer,Cycling,Cycling Road,Individual Road
Summer,Cycling,Cycling Road,Time Trial
Summer,Cycling,Cycling Track,Omnium
Summer,Cycling,Cycling Track,Team Pursuit
Summer,Gymnastics,Gymnastics Artistic,Beam
Summer,Gymnastics,Gymnastics Artistic,Individual All-Around
Summer,Judo,Judo,+ 100KG
Summer,Judo,Judo,+ 78KG
Summer,Judo,Judo,48 - 52KG
Summer,Judo,Judo,52 - 57KG
Summer,Judo,Judo,57 - 63KG
Summer,Judo,Judo,63 - 70KG
Summer,Judo,Judo,66 - 73KG
Summer,Judo,Judo,70 - 78KG
Summer,Judo,Judo,73 - 81KG
Summer,Judo,Judo,81 - 90KG
Summer,Judo,Judo,90 - 100KG
Summer,Rowing,Rowing,Coxless Four
Summer,Rowing,Rowing,Coxless Pair 2-
Summer,Rowing,Rowing,Double Sculls
Summer,Rowing,Rowing,Eight With Coxswain
Summer,Rowing,Rowing,Lightweight 4
Summer,Rowing,Rowing,Lightweight Doubles
Summer,Rowing,Rowing,Quadruple Sculls
Summer,Rowing,Rowing,Single Sculls
Summer,Sailing,Sailing,470
Summer,Sailing,Sailing,Elliott 6M
Summer,Sailing,Sailing,Finn
Summer,Sailing,Sailing,Laser
Summer,Sailing,Sailing,Laser Radial
Summer,Sailing,Sailing,Rs:X
Summer,Sailing,Sailing,Star
Summer,Shooting,Shooting,10M Air Pistol
Summer,Shooting,Shooting,10M Air Rifle
Summer,Shooting,Shooting,25M Pistol
Summer,Shooting,Shooting,25M Rapid Pistol
Summer,Shooting,Shooting,50M Pistol
Summer,Shooting,Shooting,50M Rifle 3 Positions
Summer,Shooting,Shooting,50M Rifle Prone
Summer,Shooting,Shooting,Double Trap 150
Summer,Shooting,Shooting,Skeet
Summer,Shooting,Shooting,Trap
Summer,Weightlifting,Weightlifting,+105KG
Summer,Weightlifting,Weightlifting,+75KG
Summer,Weightlifting,Weightlifting,-56KG
Summer,Wrestling,Wrestling Freestyle,Wf 120KG
Summer,Wrestling,Wrestling Freestyle,Wf 48 KG
Summer,Wrestling,Wrestling Freestyle,Wf 55 KG
Summer,Wrestling,Wrestling Freestyle,Wf 60 KG
Summer,Wrestling,Wrestling Freestyle,Wf 63 KG
Summer,Wrestling,Wrestling Freestyle,Wf 66 KG
Summer,Wrestling,Wrestling Freestyle,Wf 72 KG
Summer,Wrestling,Wrestling Freestyle,Wf 74 KG
Summer,Wrestling,Wrestling Freestyle,Wf 84 KG
Summer,Wrestling,Wrestling Freestyle,Wf 96 KG
Summer,Wrestling,Wrestling Freestyle,Wg 120 KG
Summer,Wrestling,Wrestling Freestyle,Wg 55 KG
Summer,Wrestling,Wrestling Freestyle,Wg 60 KG
Summer,Wrestling,Wrestling Freestyle,Wg 66 KG
Summer,Wrestling,Wrestling Freestyle,Wg 74 KG
Summer,Wrestling,Wrestling Freestyle,Wg 84 KG
Summer,Wrestling,Wrestling Freestyle,Wg 96 KG
